Nama Petshop,Alamat,No WA,Mitra,Kota,Distributor,Kurir
"Ichiyo Petshop Madiun    Jatim","Pati","628123406200","Tidak","Pati","Pusat",""
"Oke Petshop Sukoharjo Jateng","Sukoharjo","6285291279377","Tidak","Sukoharjo","Pusat",""
"Lolly Petshop Ponorogo Jatim","Ponorogo","6285655678910","Tidak","Ponorogo","Pusat",""
"Koneko Petshop Madiun Jatim","Madiun","6285649232195","Tidak","Madiun","Pusat",""
"Fabel Pet Gallery Solo Baru Sukoharjo Jateng","Sukoharjo","6282233433458","Tidak","Sukoharjo","Pusat",""
"Zeus Petshop Banjarmasin","Banjarmasin","6285349336007","Tidak","Banjarmasin","Pusat",""
"Wm Petshop Magelang Jateng","Magelang","628562614310","Tidak","Magelang","Pusat",""
"26 Petshop Grooming & Spa Badung Bali","Badung","6281338847862","Tidak","Badung","Pusat",""
"431 Petshop Bandung","Bandung","62811247739","Tidak","Bandung","Pusat",""
"8 Petshop Bandung","Bandung","6281224665577","Tidak","Bandung","Pusat",""
"88 Petshop Suci Pethouse Bandung","Bandung","6282119303088","Tidak","Bandung","Pusat",""
"88 Vet Clinic Bekasi","Bekasi","6285782890496","Tidak","Bekasi","Pusat",""
"911 Equine Vet Bogor","Bogor","6285257694131","Tidak","Bogor","Pusat",""
"A&K Petshop Buleleng Bali","Denpasar","6281337975973","Tidak","Denpasar","Pusat",""
"AA Petshop Boyolali","Boyolali","6289669529700","Tidak","Boyolali","Pusat",""
"Abadi Satwa Petshop Bekasi","Bekasi","6281290598656","Tidak","Bekasi","Pusat",""
"Abc Petshop Kalten","Jakarta Pusat","6282281556638","Tidak","Jakarta Pusat","Pusat",""
"ABC Petshop Klaten","Klaten","6282281556638","Tidak","Klaten","Pusat",""
"ABC Petshop Klaten Jawa Tengah","Klaten","6282184332713","Tidak","Klaten","Pusat",""
"abigail ondine Petshop Surabaya","Surabaya","62811306272","Tidak","Surabaya","Pusat",""
"achmad Petshop Surabaya","Surabaya","6282139891221","Tidak","Surabaya","Pusat",""
"Admin Aulia Petshop","Jakarta Pusat","6288996849486","Tidak","Jakarta Pusat","Pusat",""
"Admin Sumber Poultry Petshop Ciracas Bogor","Bogor","628111139902","Tidak","Bogor","Pusat",""
"AG Bird Petshop Tulungagung Jatim","Tulungagung","6285655781101","Tidak","Tulungagung","Pusat",""
"Agung Petshop Jambi","Jambi","6282282793717","Tidak","Jambi","Pusat",""
"Ahmad Erdiman UMS Eris Petshop","Jakarta Pusat","6285728252125","Tidak","Jakarta Pusat","Pusat",""
"Ai Petshop Banda Aceh","Banda Aceh","6282350648822","Tidak","Banda Aceh","Pusat",""
"Ailov Petshop Banda Aceh","Banda Aceh","6281367990381","Tidak","Banda Aceh","Pusat",""
"AJ Petshop Denpasar","Denpasar","6283119956828","Tidak","Denpasar","Pusat",""
"AJ Petshop Kaltim","Jakarta Pusat","6285246735679","Tidak","Jakarta Pusat","Pusat",""
"Alam Jaya Petshop Banyuwangi","Banyuwangi","6281235807888","Tidak","Banyuwangi","Pusat",""
"Alana Vet Jakarta","Jakarta Pusat","6285218988829","Tidak","Jakarta Pusat","Pusat",""
"Alaska Petshop & Klinik Bekasi","Bekasi","6281285204934","Tidak","Bekasi","Pusat",""
"Alci Petshop Sambirejo Sragen","Sragen","6282110006081","Tidak","Sragen","Pusat",""
"Alesha Petshop Jakarta Timur","Jakarta Timur","6281214951635","Tidak","Jakarta Timur","Pusat",""
"Alfarizki Petshop Cianjur","Cianjur","6289610108371","Tidak","Cianjur","Pusat",""
"Alim Petshop Surabaya","Surabaya","6283857326111","Tidak","Surabaya","Pusat",""
"Alkeisa Petshop Sorong","Jakarta Pusat","6281248822718","Tidak","Jakarta Pusat","Pusat",""
"All Paw Petshop Wonosobo","Wonosobo","628112919122","Tidak","Wonosobo","Pusat",""
"Alpha Petshop Surabaya","Surabaya","62816263975","Tidak","Surabaya","Pusat",""
"Am Petshop Denpasar Bali","Denpasar","62895397303500","Tidak","Denpasar","Pusat",""
"Amang Petshop Tasikmalaya","Tasikmalaya","628995844144","Tidak","Tasikmalaya","Pusat",""
"Ambar Petshop","Jakarta Pusat","6285695142080","Tidak","Jakarta Pusat","Pusat",""
"Amelys Petshop Ponorogo","Ponorogo","628113384488","Tidak","Ponorogo","Pusat",""
"Amelys Petshop Ponorogo Jatim","Ponorogo","6282230444477","Tidak","Ponorogo","Pusat",""
"Amigos PetCare Dan Petshop Boyolali","Boyolali","6281334255255","Tidak","Boyolali","Pusat",""
"Amore Animal Clinic Sawangan Depok","Depok","6281291628006","Tidak","Depok","Pusat",""
"Amore Saire Petshop Solo Jateng","Surakarta","6287835559319","Tidak","Surakarta","Pusat",""
"AN Petshop & Grooming Center Bekasi","Bekasi","628989725116","Tidak","Bekasi","Pusat",""
"Anabul Petshop Bogor","Bogor","6289517786602","Tidak","Bogor","Pusat",""
"Anabul Petshop Karanganyar Solo","Karanganyar","628112640455","Tidak","Karanganyar","Pusat",""
"Anabul Petshop Sidoarjo","Sidoarjo","6282182744464","Tidak","Sidoarjo","Pusat",""
"Anabulku Petshop Banjarmasin","Banjarmasin","6287836360220","Tidak","Banjarmasin","Pusat",""
"Anabull Petshop Garut","Jakarta Pusat","6282119628110","Tidak","Jakarta Pusat","Pusat",""
"Anda Petshop Pasuruan","Pasuruan","62895602010727","Tidak","Pasuruan","Pusat",""
"Andi Srjd Petshop Bandung","Bandung","6281214752328","Tidak","Bandung","Pusat",""
"Andifa Vet Clinic Jakarta Selatan","Jakarta Selatan","6282122211918","Tidak","Jakarta Selatan","Pusat",""
"Aneka Jaya Petshop Lampung","Lampung","6281274803878","Tidak","Lampung","Pusat",""
"Aneka Petshop Magelang Jateng","Magelang","6287859299233","Tidak","Magelang","Pusat",""
"Angel's Petshop Pamulang Tangerang","Tangerang","62816800973","Tidak","Tangerang","Pusat",""
"Animal Care Clinic Cianjur","Cianjur","6287721101364","Tidak","Cianjur","Pusat",""
"Animal Lovers Petshop Denpasar Bali","Denpasar","6283614717047","Tidak","Denpasar","Pusat",""
"Animal Petshop Makassar Sulsel","Macassar","6281246479684","Tidak","Macassar","Pusat",""
"Animal Petshop Ponorogo","Ponorogo","6282244339992","Tidak","Ponorogo","Pusat",""
"Animal Station Bengkulu","Bengkulu","628117121275","Tidak","Bengkulu","Pusat",""
"Animal World Petshop Sukoharjo Jateng","Sukoharjo","622712057699","Tidak","Sukoharjo","Pusat",""
"Animal Zone Petcare Tegal","Tegal","6281392148005","Tidak","Tegal","Pusat",""
"Animalia Petshop Martapura Kalsel","Jakarta Pusat","6281399124008","Tidak","Jakarta Pusat","Pusat",""
"Animalia Petshop Tulungagung Jatim","Tulungagung","6281330157257","Tidak","Tulungagung","Pusat",""
"Animalia Petshop Tulungagung  Jatim","Pati","6281334276774","Tidak","Pati","Pusat",""
"Animalova Sleman","Sleman","6281227288088","Tidak","Sleman","Pusat",""
"Animals Petshop Samarinda","Samarinda","6289501040959","Tidak","Samarinda","Pusat",""
"Animaxx Petshop Depok","Depok","6285212560828","Tidak","Depok","Pusat",""
"AnimMoLL Petshop Madiun Jatim","Madiun","6281335504001","Tidak","Madiun","Pusat",""
"Anta Petshop Bandung","Bandung","6281323673200","Tidak","Bandung","Pusat",""
"Antique Petshop Tasikmalaya","Tasikmalaya","6289526677677","Tidak","Tasikmalaya","Pusat",""
"Anugerah Satwa Petshop Tangerang","Tangerang","6281390090040","Tidak","Tangerang","Pusat",""
"Anugrah Jaya Petshop Banyuwangi","Banyuwangi","6285335106426","Tidak","Banyuwangi","Pusat",""
"AO Petshop Bogor 1","Bogor","6281382830992","Tidak","Bogor","Pusat",""
"APB Antasari Petshop Samarinda","Samarinda","6281253321845","Tidak","Samarinda","Pusat",""
"APB Petshop Samarinda","Samarinda","6281277446540","Tidak","Samarinda","Pusat",""
"Arcapada Petshop Tabanan Bali","Denpasar","6287862444411","Tidak","Denpasar","Pusat",""
"ardaniayra Karawang Petshop","Karawang","6281291983929","Tidak","Karawang","Pusat",""
"Are Petshop & Klinik Hewan Bogor","Bogor","6281219270270","Tidak","Bogor","Pusat",""
"Arisoni Petshop Pare Pare Sulsel","Jakarta Pusat","62882019279809","Tidak","Jakarta Pusat","Pusat",""
"Arizona Petshop Pacitan","Jakarta Pusat","6281392578669","Tidak","Jakarta Pusat","Pusat",""
"Arsaa Pet Care Trenggalek","Trenggalek","6283845479787","Tidak","Trenggalek","Pusat",""
"Arsn Petshop Grosir","Jakarta Pusat","6282211116003","Tidak","Jakarta Pusat","Pusat",""
"Artzimar Petshop Bogor","Bogor","628111110387","Tidak","Bogor","Pusat",""
"Ary Petshop Sidoarjo","Sidoarjo","6285850138229","Tidak","Sidoarjo","Pusat",""
"ARY WIBOWO Petshop Solo","Surakarta","6285642091342","Tidak","Surakarta","Pusat",""
"Arza Petshop Sumedang","Medan","6282158460100","Tidak","Medan","Pusat",""
"Astro Petshop Surabaya Jatim","Surabaya","6285755003297","Tidak","Surabaya","Pusat",""
"Astro Vet Bogor","Bogor","62811168768","Tidak","Bogor","Pusat",""
"Asuko Petshop Surabaya","Surabaya","62818334488","Tidak","Surabaya","Pusat",""
"Aulia Petshop Baureno Bojonegoro","Bojonegoro","6281392530002","Tidak","Bojonegoro","Pusat",""
"Aulia Petshop Bojonegoro Jatim","Bojonegoro","6282340290128","Tidak","Bojonegoro","Pusat",""
"Aulia Petshop Padangan","Ruko jl. Surabaya no.9 dusun demaan, dengok, padangan, bojonegoro","6282144721568","Ya","Bojonegoro","Pusat",""
"Awal Petshop & Care Wajo Sulsel","Jakarta Pusat","6285242454622","Tidak","Jakarta Pusat","Pusat",""
"Aziy's Petshop Sidoarjo","Sidoarjo","6281222295585","Tidak","Sidoarjo","Pusat",""
"Azria Petshop Lamongan","Lamongan","6285745725808","Tidak","Lamongan","Pusat",""
"Azria Vetcare&Petcare Lamongan","Lamongan","6281259391139","Tidak","Lamongan","Pusat",""
"Azzam Petshop Makasar Aksa","Jakarta Pusat","6287841761555","Tidak","Jakarta Pusat","Pusat",""
"Baba Petshop Kendari","Kendari","6285340118837","Tidak","Kendari","Pusat",""
"Bahagia Petshop Jimbaran Bali","Denpasar","6281999122025","Tidak","Denpasar","Pusat",""
"Bahagia Petshop Nusa Dua Bali","Denpasar","6282147705665","Tidak","Denpasar","Pusat",""
"Bahagia Petshop Pakerisan Bali","Denpasar","6287829975387","Tidak","Denpasar","Pusat",""
"Bahagia Petshop Purigading","Jakarta Pusat","628113837705","Tidak","Jakarta Pusat","Pusat",""
"Bahagia Petshop Sesetan Bali","Denpasar","6281999122034","Tidak","Denpasar","Pusat",""
"Bahagia Petshop Tuban Bali","Tuban","628999122023","Tidak","Tuban","Pusat",""
"Bahagia Petshop Yeh Aya Bali","Denpasar","6281779975388","Tidak","Denpasar","Pusat",""
"Bali Petshop","Denpasar","6281237131463","Tidak","Denpasar","Pusat",""
"Bali Petshop Denpasar Utara Bali","Denpasar","6282185318404","Tidak","Denpasar","Pusat",""
"Bali Petshop Kendari Sulteng","Kendari","6281369827872","Tidak","Kendari","Pusat",""
"Balikpapan Petshop","Balikpapan","628123592359","Tidak","Balikpapan","Pusat",""
"Bangil Petshop & Vet Service Pasuruan","Pasuruan","6282133339995","Tidak","Pasuruan","Pusat",""
"Bapak Susanto Pasir Tuban","Tuban","6281252338888","Tidak","Tuban","Pusat",""
"Bapak Susanto Pasir Zeolite Tuban","Tuban","6282298135000","Tidak","Tuban","Pusat",""
"Bara Petshop Banjarnegara Jawa Tengah","Semarang","628112617484","Tidak","Semarang","Pusat",""
"Basmallah Petshop Surabaya","Surabaya","6282211117749","Tidak","Surabaya","Pusat",""
"Batu Petshop Jatim","Batu","6285331883934","Tidak","Batu","Pusat",""
"Bayangkara Petshop Mojokerto","Mojokerto","6285102157979","Tidak","Mojokerto","Pusat",""
"BB Petshop Tajur BOGOR","Bogor","6287870429699","Tidak","Bogor","Pusat",""
"BBB Petshop Jakarta","Jakarta Pusat","628975091173","Tidak","Jakarta Pusat","Pusat",""
"Bebe Petshop & Grooming Jakarta Selatan","Jakarta Selatan","6281219069157","Tidak","Jakarta Selatan","Pusat",""
"Beepetmart Petshop Abdesir Makassar","Macassar","6282311112254","Tidak","Macassar","Pusat",""
"Belang Tiga Petshop Pasuruan","Pasuruan","6281357562778","Tidak","Pasuruan","Pusat",""
"Bentonite Tiger Pet China","Jakarta Pusat","628618624263201","Tidak","Jakarta Pusat","Pusat",""
"Berkah Petshop Batang","Jakarta Pusat","6285700244167","Tidak","Jakarta Pusat","Pusat",""
"Berkah Petshop Jogja","Yogyakarta","6287839274252","Tidak","Yogyakarta","Pusat",""
"Berniss Petshop Bandung","Bandung","6281313666691","Tidak","Bandung","Pusat",""
"Betty Petshop Kediri","Kediri","628978888006","Tidak","Kediri","Pusat",""
"Beyan Petshop Tulungagung Jatim","Tulungagung","6285730553000","Tidak","Tulungagung","Pusat",""
"Bi Petshop & Vet Care Bogor","Bogor","6281210008967","Tidak","Bogor","Pusat",""
"Big Family Petshop Solo","Surakarta","628172838889","Tidak","Surakarta","Pusat",""
"Big Family Petshop Sukoharjo Jateng","Sukoharjo","62271623086","Tidak","Sukoharjo","Pusat",""
"Big Paw Petshop Jambi","Jambi","6285366445888","Tidak","Jambi","Pusat",""
"Bigboss Petshop Klaten","Klaten","628118751925","Tidak","Klaten","Pusat",""
"Billy Petshop Bogor","Bogor","6281320222201","Tidak","Bogor","Pusat",""
"Bima Petshop Cirebon Jawa Barat","Cirebon","62895404388777","Tidak","Cirebon","Pusat",""
"Bima Petshop Kesambi Cirebon Jabar","Cirebon","6281313135557","Tidak","Cirebon","Pusat",""
"Bimaraya Petshop Bekasi","Bekasi","6281218932391","Tidak","Bekasi","Pusat",""
"Bimbi Petshop Yogyakarta","Yogyakarta","6285643501430","Tidak","Yogyakarta","Pusat",""
"Bingo Petshop Semarang","Semarang","6282225462008","Tidak","Semarang","Pusat",""
"Bintang Vet Clinic Jakarta","Jakarta Pusat","6281511130293","Tidak","Jakarta Pusat","Pusat",""
"Bitung Cat House Sulawesu Utara","Jakarta Pusat","6285241116476","Tidak","Jakarta Pusat","Pusat",""
