Nama Petshop,Alamat,No WA,Mitra,Kota,Google Maps Link,Latitude,Longitude,Distributor,Kurir
Aulia Petshop Padangan,"Ruko jl. Surabaya no.9 dusun demaan, dengok, padangan, bojonegoro",6282144721568,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Aulia%20Petshop%20Padangan%20Padangan,-0.9478,100.4172,Pusat,
Puffy Petshop,"Gg. Nanas 1, Kabunan Lor, Kabunan, Kec. Balen, Kabupaten Bojonegoro",6285338601567,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Petshop%20Pufy%20Kabunan%20Bojonegoro%20Bojonegoro,-7.15,111.8833,Pusat,
Vivetcare,"Perumahan Bukit Karang JL. Intan ll, Blok AJ-7, Tuban",6281233676727,Ya,Tuban,https://www.google.com/maps/search/?api=1&query=Petshop%20Vivet%20Owner%20Tuban%20Tuban,-6.9,112.0667,Pusat,
Petshop Cherry,"Jl. Mangga No. 27 Rt 01 Rw 07 Desa Adipala, Kec. Adipala",6281393191233,Ya,Cilacap,https://www.google.com/maps/search/?api=1&query=Terobos%20Petshop%20Adipala%20Gudang%20Adipala,,,Pusat,
Yavet Animal Care,"Jl. Desa Purwoasri Sukosewu, Klapak, Sitiaji, Kec.Sukosewu, kab.bojonegoro",6285230329980,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Yvet%20Animall%20Care%20Bojonegoro%20Bojonegoro,-7.15,111.8833,Pusat,
AJM Petshop,"Gangsalan, Kalitidu, Kec. Kalitidu, Kabupaten Bojonegoro",628123456789001,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=AJM%20Petshop%20Bojonegoro,-7.15,111.8833,Pusat,
Aulia Petshop & Praktek Dokter Hewan,"Jl. Ahmad yani no. 2A, jambean sukorejo kec. Bojonegoro kab. Bojonegoro",6282132395055,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Aulia%20Petshop%20%26%20Praktek%20Dokter%20Hewan%20Bojonegoro,-7.15,111.8833,Pusat,
Aulia Petshop Baureno,"Jl raya baureno no. 98, pasinan kec. Baureno kab. Bojonegoro",6281392530002,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Aulia%20Petshop%20Baureno%20Bojonegoro,-7.15,111.8833,Pusat,
Ilhampuss22 Petshop,"Cepit, Sumuragung, Kec. Sumberejo, Kabupaten Bojonegoro",628123456789005,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Ilhampuss22%20Petshop%20Bojonegoro,-7.15,111.8833,Pusat,
Rizky Petshop,"Jl. Raya Dander, Dander, Kec. Dander, Kab Bojonegoro",6281338000408,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Rizky%20Petshop%20Bojonegoro,-7.15,111.8833,Pusat,
Firdaus Pet Care,"Jl. Raya Gondang No 6, Tikung Wetan, Gondang, Kec. Gondang, Kab. Bojonegoro",6285231891993,Ya,Bojonegoro,https://www.google.com/maps/search/?api=1&query=Firdaus%20Pet%20Care%20Bojonegoro,-7.15,111.8833,Pusat,
Ndek Kene,Jl. Brigjen Abdul Manan Wijaya RT03 Pujon Lor (Barat Bank Jatim),628123456789010,Ya,Batu,https://www.google.com/maps/search/?api=1&query=Ndek%20Kene%20Batu,-7.8833,112.5167,Pusat,
D'Clinic,"Jl. Semeru No 18, Sisir, Batu",6282146649554,Ya,Batu,https://www.google.com/maps/search/?api=1&query=D'Clinic%20Batu,-7.8833,112.5167,Pusat,
Planet Petcare Karangploso,Ruko Raya Griya Permata Alakm Kav 12 Ngijo - Karangploso Kab. Malang,6285850225781,Ya,Malang,https://www.google.com/maps/search/?api=1&query=Planet%20Petcare%20Karangploso%20Malang,-7.9797,112.6304,Pusat,
Planet Pet Care Tirto Joyo,"Jl. Tirto Joyo Blok DD No. 134 Merjosari, Kota Malang",628123456789013,Ya,Malang,https://www.google.com/maps/search/?api=1&query=Planet%20Pet%20Care%20Tirto%20Joyo%20Malang,-7.9797,112.6304,Pusat,
Tera PetShop,"Jl. Patimura No.41, Temas, Kec. Batu, Kota Batu",6282370454545,Ya,Batu,https://www.google.com/maps/search/?api=1&query=Tera%20PetShop%20Batu,-7.8833,112.5167,Pusat,
Nanang Petshop,"Jl. Raya Tasikmadu No.21, Karangploso Wetan, Kepuharjo, Kec. Lowokwaru, Malang",628155516832,Ya,Malang,https://www.google.com/maps/search/?api=1&query=Nanang%20Petshop%20Malang,-7.9797,112.6304,Pusat,
Mendit Petshop,"Jl. Raya Wendit Tim. No.36, Mangliawan, Kec. Pakis, Kab. Malang",628123456789016,Ya,Malang,https://www.google.com/maps/search/?api=1&query=Mendit%20Petshop%20Malang,-7.9797,112.6304,Pusat,
Toko Ardi,"Jl. Brigjend Abd Manan Wijaya, Maron, Pujon Lor, Kec. Pujon, Kab. Malang",628177005883,Ya,Malang,https://www.google.com/maps/search/?api=1&query=Toko%20Ardi%20Malang,-7.9797,112.6304,Pusat,
MOMO PETTO PETSHOP,"Ruko Graha Tirta, Jl. Tirta Raya No 5, Waru, Sidoarjo",6281515604300,Ya,Sidoarjo,https://www.google.com/maps/search/?api=1&query=MOMO%20PETTO%20PETSHOP%20Sidoarjo,-7.4478,112.7183,Pusat,
Aqila Petshop,"Jalan Pati-Tayu KM. 10 Pati, Jawa Tengah",6289601479312,Ya,Pati,https://www.google.com/maps/search/?api=1&query=Aqila%20Petshop%20Pati,-6.75,111.0333,Pusat,
Dunia Pet Nusukan,Jl Kpt. Pierre Tendean no 14 Nusukan,6281228222098,Ya,Surakarta,https://www.google.com/maps/search/?api=1&query=Dunia%20Pet%20Nusukan%20Surakarta,-7.5667,110.8167,Pusat,
Dunia Pet Fajar Indah,Ruko fajar indah raya 2 Jl. Fajar indah raya Klemburan - baturan,628123456789021,Ya,Surakarta,https://www.google.com/maps/search/?api=1&query=Dunia%20Pet%20Fajar%20Indah%20Surakarta,-7.5667,110.8167,Pusat,
Dunia Pet Gentan,Jl. Joko Tingkir no 17 Makamhaji - Kartosuro,628123456789022,Ya,Sukoharjo,https://www.google.com/maps/search/?api=1&query=Dunia%20Pet%20Gentan%20Sukoharjo,-7.6833,110.8333,Pusat,
Dodi Petshop Jaten,Jl. Raya Solo - Tawangmangu (Depan Ary Farma Jaten),628123456789023,Ya,Karanganyar,https://www.google.com/maps/search/?api=1&query=Dodi%20Petshop%20Jaten%20Karanganyar,-7.63,110.95,Pusat,
Kawatan Petshop & Klinik,Jl. Muh Yamin 95 Kratonan,62271645454,Ya,Surakarta,https://www.google.com/maps/search/?api=1&query=Kawatan%20Petshop%20%26%20Klinik%20Surakarta,-7.5667,110.8167,Pusat,
Happypets Petshop & Klinik,Jl. Raya Grogol 74 Grogol - Sukoharjo,628123456789025,Ya,Sukoharjo,https://www.google.com/maps/search/?api=1&query=Happypets%20Petshop%20%26%20Klinik%20Sukoharjo,-7.6833,110.8333,Pusat,
